gbifID,Species,Latitude,Longitude
2275282680,Amazona oratrix,16.536444,-88.717051
2275282673,Amazona oratrix,16.531859,-88.722988
2275282665,Amazona oratrix,16.34411,-88.783383
2275282566,Amazona oratrix,16.535275,-88.71854
2275282500,Amazona oratrix,16.534179,-88.719964
2275282497,Amazona oratrix,16.409972,-88.801826
2275282470,Amazona oratrix,16.534179,-88.719964
2275282455,Amazona oratrix,16.531859,-88.722988
2275282397,Amazona oratrix,16.548959,-88.724854
2275282367,Amazona oratrix,16.533011,-88.721405
2275282300,Amazona oratrix,16.411232,-88.805545
2275282226,Amazona oratrix,16.533011,-88.721405
2275282219,Amazona oratrix,16.537595,-88.715638
2275282201,Amazona oratrix,16.531859,-88.722988
2275282172,Amazona oratrix,16.535275,-88.71854
2275282166,Amazona oratrix,16.536444,-88.717051
2275282119,Amazona oratrix,16.534179,-88.719964
2275282116,Amazona oratrix,16.534179,-88.719964
2275282064,Amazona oratrix,16.535275,-88.71854
2275282036,Amazona oratrix,16.409895,-88.800327
2275282000,Amazona oratrix,16.537595,-88.715638
2275281990,Amazona oratrix,16.533011,-88.721405
2275281947,Amazona oratrix,16.531859,-88.722988
2275281901,Amazona oratrix,16.535275,-88.71854
2275281895,Amazona oratrix,16.547692,-88.721817
2275281890,Amazona oratrix,16.531859,-88.722988
2275281878,Amazona oratrix,16.535275,-88.71854
2275281817,Amazona oratrix,16.536444,-88.717051
2275281794,Amazona oratrix,16.535275,-88.71854
2275281707,Amazona oratrix,16.534179,-88.719964
2275281703,Amazona oratrix,16.547986,-88.723346
2275281664,Amazona oratrix,16.535275,-88.71854
2275281660,Amazona oratrix,16.547843,-88.719963
2275281657,Amazona oratrix,16.531859,-88.722988
2275281646,Amazona oratrix,16.535275,-88.71854
2275281641,Amazona oratrix,16.533011,-88.721405
2275281632,Amazona oratrix,16.537595,-88.715638
2275281625,Amazona oratrix,16.34418,-88.78154
2275281608,Amazona oratrix,16.548285,-88.716744
2275281601,Amazona oratrix,16.531859,-88.722988
2275281582,Amazona oratrix,16.537595,-88.715638
2275281571,Amazona oratrix,16.535275,-88.71854
2275281569,Amazona oratrix,16.410995,-88.798502
2275281565,Amazona oratrix,16.409972,-88.801826
2275281526,Amazona oratrix,16.411232,-88.805545
2275281519,Amazona oratrix,16.534179,-88.719964
2275281483,Amazona oratrix,16.534179,-88.719964
2275281426,Amazona oratrix,16.536444,-88.717051
2275281423,Amazona oratrix,16.534179,-88.719964
2275281404,Amazona oratrix,16.537595,-88.715638
2275281385,Amazona oratrix,16.535275,-88.71854
2275281346,Amazona oratrix,16.410545,-88.803535
2275281336,Amazona oratrix,16.535275,-88.71854
2275281296,Amazona oratrix,16.412225,-88.806808
2275281241,Amazona oratrix,16.410995,-88.798502
2275281146,Amazona oratrix,16.537595,-88.715638
2275281001,Amazona oratrix,16.331778,-88.810578
2275280992,Amazona oratrix,16.344331,-88.787175
2275280978,Amazona oratrix,16.537595,-88.715638
2275280969,Amazona oratrix,16.535275,-88.71854
2275280782,Amazona oratrix,16.537595,-88.715638
2275280643,Amazona oratrix,16.344049,-88.785226
2275280633,Amazona oratrix,16.419999,-88.782116
2275280476,Amazona oratrix,16.387163,-88.835474
2275280475,Amazona oratrix,16.535275,-88.71854
2275280031,Amazona oratrix,16.410351,-88.846607
2275278869,Amazona oratrix,16.2262,-88.841003
2243701722,Amazona oratrix oratrix,18.0024,-94.5653
2243700409,Amazona oratrix oratrix,18.0024,-94.5653
2243688304,Amazona oratrix,18.0024,-94.5653
2243672394,Amazona oratrix oratrix,18.0024,-94.5653
2243635321,Amazona oratrix,23.666667,-97.7
2243634492,Amazona oratrix,23.666667,-97.7
2243634287,Amazona oratrix,23.666667,-97.7
2243633819,Amazona oratrix,23.666667,-97.7
2243569358,Amazona oratrix,18.0024,-94.5653
1897564389,Amazona oratrix,18.623195,-92.507515
1897564388,Amazona oratrix,18.01104,-93.013084
1897564386,Amazona oratrix,15.846944,-96.870556
1897564370,Amazona oratrix,16.315278,-97.605278
1897564369,Amazona oratrix,23.013889,-97.905556
1897564360,Amazona oratrix,15.883889,-96.972222
1897564352,Amazona oratrix,18.458794,-92.214381
1897564346,Amazona oratrix,21.886889,-98.138889
1897564338,Amazona oratrix,16.070278,-97.894722
1897564336,Amazona oratrix,18.613903,-92.524311
1897564333,Amazona oratrix,17.759572,-93.904982
1897564330,Amazona oratrix,18.385895,-92.270696
1897564329,Amazona oratrix,15.891361,-96.197944
1897564322,Amazona oratrix,17.49409,-91.607833
1897564319,Amazona oratrix,18.379455,-93.026478
1897564318,Amazona oratrix,16.331944,-98.022222
1897564316,Amazona oratrix,16.475,-98.275
1897564307,Amazona oratrix,17.772891,-91.342911
1897564304,Amazona oratrix,16.21,-97.619722
1897564302,Amazona oratrix,17.657966,-91.925605
1897564300,Amazona oratrix,18.34684,-92.235227
1897564298,Amazona oratrix,18.453686,-92.843439
1897564297,Amazona oratrix,17.772991,-91.346098
1897564296,Amazona oratrix,17.805583,-92.174267
1897564294,Amazona oratrix,18.304066,-92.226578
1897564293,Amazona oratrix,16.071944,-97.6225
1897564290,Amazona oratrix,17.764371,-91.794571
1897564287,Amazona oratrix,15.824722,-96.072778
1897564286,Amazona oratrix,16.154444,-95.441667
1897564285,Amazona oratrix,16.016944,-97.758056
1897564281,Amazona oratrix,18.020928,-93.00103
1897564279,Amazona oratrix,22.908889,-97.847222
