gbifID,Species,Longitude,Latitude
2275287302,Amazona oratrix,-88.593697,16.3764
2275287298,Amazona oratrix,-88.5868,16.370501
2275287289,Amazona oratrix,-88.588203,16.371599
2275287249,Amazona oratrix,-88.593697,16.3764
2275287237,Amazona oratrix,-88.588203,16.371599
2275287229,Amazona oratrix,-88.5923,16.3752
2275287225,Amazona oratrix,-88.590897,16.374001
2275287222,Amazona oratrix,-88.593697,16.3764
2275287221,Amazona oratrix,-88.588203,16.371599
2275287217,Amazona oratrix,-88.5923,16.3752
2275287216,Amazona oratrix,-88.5868,16.370501
2275287197,Amazona oratrix,-88.5868,16.370501
2275287160,Amazona oratrix,-88.590897,16.374001
2275287128,Amazona oratrix,-88.5868,16.370501
2275287117,Amazona oratrix,-88.5895,16.372801
2275287101,Amazona oratrix,-88.590897,16.374001
2275287100,Amazona oratrix,-88.5923,16.3752
2275287091,Amazona oratrix,-88.590897,16.374001
2275287079,Amazona oratrix,-88.5868,16.370501
2275287074,Amazona oratrix,-88.590897,16.374001
2275287073,Amazona oratrix,-88.5868,16.370501
2275287066,Amazona oratrix,-88.5923,16.3752
2275287065,Amazona oratrix,-88.590897,16.374001
2275287061,Amazona oratrix,-88.5895,16.372801
2275287060,Amazona oratrix,-88.5895,16.372801
2275287057,Amazona oratrix,-88.593697,16.3764
2275287040,Amazona oratrix,-88.590897,16.374001
2275287011,Amazona oratrix,-88.5868,16.370501
2275287002,Amazona oratrix,-88.5895,16.372801
2275286996,Amazona oratrix,-88.588203,16.371599
2275286984,Amazona oratrix,-88.5868,16.370501
2275286980,Amazona oratrix,-88.5895,16.372801
2275286966,Amazona oratrix,-88.5923,16.3752
2275286964,Amazona oratrix,-88.593697,16.3764
2275286962,Amazona oratrix,-88.588203,16.371599
2275286941,Amazona oratrix,-88.5923,16.3752
2275286915,Amazona oratrix,-88.5895,16.372801
2275286914,Amazona oratrix,-88.590897,16.374001
2275286905,Amazona oratrix,-88.593697,16.3764
2275286875,Amazona oratrix,-88.5895,16.372801
2275286864,Amazona oratrix,-88.590897,16.374001
2275286837,Amazona oratrix,-88.5895,16.372801
2275286818,Amazona oratrix,-88.5895,16.372801
2275286807,Amazona oratrix,-88.588203,16.371599
2275286804,Amazona oratrix,-88.5895,16.372801
2275286784,Amazona oratrix,-88.5868,16.370501
2275286781,Amazona oratrix,-88.588203,16.371599
2275286762,Amazona oratrix,-88.5895,16.372801
2275286760,Amazona oratrix,-88.593697,16.3764
2275286749,Amazona oratrix,-88.5868,16.370501
2275286734,Amazona oratrix,-88.5895,16.372801
2275286708,Amazona oratrix,-88.590897,16.374001
2275286654,Amazona oratrix,-88.5868,16.370501
2275286616,Amazona oratrix,-88.588203,16.371599
2275286592,Amazona oratrix,-88.590897,16.374001
2275286571,Amazona oratrix,-88.5868,16.370501
2275286562,Amazona oratrix,-88.590897,16.374001
2275286559,Amazona oratrix,-88.588203,16.371599
2275286558,Amazona oratrix,-88.5868,16.370501
2275286554,Amazona oratrix,-88.5895,16.372801
2275286552,Amazona oratrix,-88.5868,16.370501
2275286545,Amazona oratrix,-88.590897,16.374001
2275286517,Amazona oratrix,-88.5868,16.370501
2275286491,Amazona oratrix,-88.588203,16.371599
2275286442,Amazona oratrix,-88.590897,16.374001
2275286440,Amazona oratrix,-88.5923,16.3752
2275286192,Amazona oratrix,-88.715638,16.537595
2275286065,Amazona oratrix,-88.721405,16.533011
2275286012,Amazona oratrix,-88.717051,16.536444
2275285979,Amazona oratrix,-88.722988,16.531859
2275285931,Amazona oratrix,-88.71854,16.535275
2275285853,Amazona oratrix,-88.719964,16.534179
2275285844,Amazona oratrix,-88.71854,16.535275
2275285716,Amazona oratrix,-88.722988,16.531859
2275285600,Amazona oratrix,-88.715638,16.537595
2275285167,Amazona oratrix,-88.722988,16.531859
2275285140,Amazona oratrix,-88.715638,16.537595
2275284886,Amazona oratrix,-88.71854,16.535275
2275284875,Amazona oratrix,-88.715638,16.537595
2275284861,Amazona oratrix,-88.719964,16.534179
2275284840,Amazona oratrix,-88.722988,16.531859
2275284789,Amazona oratrix,-88.717051,16.536444
2275284768,Amazona oratrix,-88.722988,16.531859
2275284597,Amazona oratrix,-88.717051,16.536444
2275284568,Amazona oratrix,-88.719964,16.534179
2275284518,Amazona oratrix,-88.71854,16.535275
2275284514,Amazona oratrix,-88.722988,16.531859
2275284513,Amazona oratrix,-88.722988,16.531859
2275284496,Amazona oratrix,-88.717051,16.536444
2275284454,Amazona oratrix,-88.721405,16.533011
2275284446,Amazona oratrix,-88.719964,16.534179
2275284330,Amazona oratrix,-88.785166,16.328127
2275284281,Amazona oratrix,-88.722988,16.531859
2275284260,Amazona oratrix,-88.721405,16.533011
2275284178,Amazona oratrix,-88.717051,16.536444
2275284165,Amazona oratrix,-88.721405,16.533011
2275284126,Amazona oratrix,-88.71854,16.535275
2275284066,Amazona oratrix,-88.717051,16.536444
2275284054,Amazona oratrix,-88.715638,16.537595
2275283951,Amazona oratrix,-88.721405,16.533011
2275283868,Amazona oratrix,-88.71854,16.535275
2275283796,Amazona oratrix,-88.719964,16.534179
2275283765,Amazona oratrix,-88.722988,16.531859
2275283759,Amazona oratrix,-88.722988,16.531859
2275283712,Amazona oratrix,-88.785166,16.328127
2275283701,Amazona oratrix,-88.715638,16.537595
2275283691,Amazona oratrix,-88.71854,16.535275
2275283675,Amazona oratrix,-88.722988,16.531859
2275283668,Amazona oratrix,-88.71854,16.535275
